province_state,country_region,confirmed,deaths
West Bengal,India,2109090,21482
West Bengal,India,291194,5563
West Bengal,India,1331249,14975
West Bengal,India,563475,10010
West Bengal,India,12300,506
West Bengal,India,2016976,21197
West Bengal,India,2011569,21061
West Bengal,India,593615,10344
West Bengal,India,1539612,18318
West Bengal,India,558173,9881
West Bengal,India,2017315,21197
West Bengal,India,2020409,21206
West Bengal,India,581865,10312
West Bengal,India,1576943,18914
West Bengal,India,365692,6725
West Bengal,India,2117835,21527
West Bengal,India,2018441,21202
West Bengal,India,393524,7122
West Bengal,India,2022141,21209
West Bengal,India,564098,10026
West Bengal,India,1614867,19462
West Bengal,India,2107707,21472
West Bengal,India,1544109,18383
West Bengal,India,16711,629
West Bengal,India,353822,6546
West Bengal,India,2105222,21446
West Bengal,India,70188,1581
West Bengal,India,2015406,21178
West Bengal,India,1990179,20550
West Bengal,India,92615,2005
West Bengal,India,570177,10179
West Bengal,India,1939920,20230
West Bengal,India,1464776,16974
West Bengal,India,579479,10300
West Bengal,India,2017846,21200
West Bengal,India,10698,463
West Bengal,India,2019253,21203
West Bengal,India,1542986,18364
West Bengal,India,1578482,18935
West Bengal,India,257049,4958
West Bengal,India,2083572,21314
West Bengal,India,1609845,19383
West Bengal,India,1474249,17182
West Bengal,India,2096896,21384
West Bengal,India,1571240,18825
West Bengal,India,1591014,19113
West Bengal,India,2109448,21483
West Bengal,India,2010901,21017
West Bengal,India,574500,10260
West Bengal,India,2019633,21205
West Bengal,India,263634,5070
West Bengal,India,1678323,19827
West Bengal,India,1514708,17958
West Bengal,India,2117090,21523
West Bengal,India,2017715,21200
West Bengal,India,2118212,21530
West Bengal,India,1617408,19510
West Bengal,India,2118448,21531
West Bengal,India,828366,11344
West Bengal,India,2014307,21165
West Bengal,India,576176,10275
West Bengal,India,580999,10308
West Bengal,India,1581220,18989
West Bengal,India,13090,529
West Bengal,India,2114953,21508
West Bengal,India,321036,6056
West Bengal,India,2019026,21203
